run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
22,Col,0.010985411419875584,3.180178653084672,0.03493557089284091,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
23,Col,0.010985411419875584,3.180178653084672,0.03493557089284091,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,4.957107016377542e-10,0.0019130364853050794,4.828923032545335e-08,0.3826072970890133,2.4144615162726676e-10,0.0019130364854450666,0.3114882220703912,False,False,True,bt_only
24,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
25,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,7.947308348554457e-09,0.0019130364747942405,9.543375880443615e-07,0.38260729582067216,4.771687940221808e-09,0.0019130364791033608,0.22151166771716468,False,False,True,bt_only
26,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
27,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,1.3590926976025307e-08,0.001913036467135837,1.6320119802616839e-06,0.38260729490110806,8.16005990130842e-09,0.0019130364745055402,0.2215344670343491,False,False,True,bt_only
28,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
29,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.3830226783712957e-10,0.0019130364854341602,2.3315045960834036e-08,0.38260729710152186,1.1657522980417018e-10,0.0019130364855076093,0.30863097812645,False,False,True,bt_only
30,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
31,Col,0.012067926406393288,3.180178653084672,0.03837816194460875,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,5.319043646421731e-10,0.0019130364852569487,5.2040484378707984e-08,0.38260729708418684,2.602024218935399e-10,0.0019130364854209343,0.3096720778127686,False,False,True,bt_only
32,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
33,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,9.800317175565148e-09,0.0019130364710547906,1.1920092032411052e-06,0.3826072953491805,5.960046016205526e-09,0.0019130364767459024,0.21596196903871423,False,False,True,bt_only
34,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
35,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,1.658933634219748e-08,0.001913036460993193,2.0177116656128703e-06,0.3826072941255245,1.0088558328064352e-08,0.0019130364706276227,0.21598303538414854,False,False,True,bt_only
36,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
37,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.5820816747278574e-10,0.0019130364854071551,2.538339537627233e-08,0.3826072970988023,1.2691697688136167e-10,0.0019130364854940116,0.3067204947520512,False,False,True,bt_only
38,Col,0.013257113655901088,3.180178653084672,0.04215998985001393,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
