resource_id,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg
Resource_1,0.08046088091793807,0.16796928210159637,0.1775572881592047,0.10673664902360626,0.08046088091793807,0.13501080127489923,0.0362600134319489,0.07034383983686063,0.0140478151737544,0.0071364526130094095,0.02005078629197783,0.1181906570597719,0.41036309589160913,0.03608633748561737,0.00400922717325285,0.14047869873722055
Resource_2,0.05039566766862586,0.045408684718977486,0.015590639901753823,0.02295930163240055,0.05039566766862586,0.19634532004495134,0.018819694981024992,0.03549848371980982,0.10979993265205407,0.11078165552620983,0.2994120691928244,0.07813358790974888,0.0519224035027025,0.11024148637524918,0.036516117330802504,0.03773013772047772
Resource_3,0.02070316482135855,0.01977020811602847,0.011373618950116406,0.015937964367748737,0.02070316482135855,0.08267195836679389,0.0029109095377357536,0.012689525664479156,1.0890432579326088,0.579800335184168,0.07023417130582552,0.013082000124724961,0.0731915869741506,0.025213681069180822,0.0029309682747077127,0.025881118549155098
Resource_4,0.08631934238932393,0.017935469223311303,0.11272023797435868,0.1024584267183736,0.08631934238932393,0.08144328708011087,0.08580960904680762,0.01973972779769567,0.012899171757681419,0.01687755421050989,0.04730718846339887,0.08615100880186691,0.08623388438213299,0.360818364621673,0.07414969264116648,0.06507210541113986
Resource_5,0.1669978497786359,0.14837243440605125,0.11337799714223813,0.14422266926418553,0.1669978497786359,0.19874919051643836,0.16887277489483035,0.25798474470518895,0.016016311309465313,0.17061725516675133,0.10422922644120092,0.16096618709064422,0.18481653674367912,0.5597762048602111,0.10915519579812757,0.11487280403406114
Resource_6,0.019357097351791006,0.0029413403844235596,0.0036249153387641147,0.0029803722315665435,0.019357097351791006,0.008350843261096835,0.011855812481549152,0.007796259392301004,0.010111639588273196,0.006409171654561935,0.014432587745522807,0.127685598627786,0.015800803049567064,0.021878091759276002,0.003600643982057196,0.005795065017489033
Resource_7,0.16409640618133234,0.00481680276030023,0.16830663506701724,0.004880722126438457,0.16409640618133234,0.4717768578670132,0.14826389556983788,0.004132726907039692,0.01655904017814962,0.0143373964716096,0.02363511848749595,0.009687279831558213,0.39451268969730324,0.017462074062153964,0.004725927347848288,0.013435931162415184
Resource_8,0.1760457132311863,0.1323121575167871,0.10301722233567871,0.09114293379898651,0.1760457132311863,0.2708649273595894,0.1173961458933889,0.050981383639643905,0.016829829215316908,0.06510139008958615,0.029971539772422326,0.16730377043935257,0.24739585554198376,0.20277915916368763,0.13073107784654173,0.010688718165139798
Resource_9,0.2898324837321623,0.04684582744631102,0.2997141415838921,0.22864216024859849,0.2898324837321623,0.31035771111452,0.29255853530021697,0.2303352484503502,0.020891071131064684,0.0332902534474588,0.355108360853035,0.31409052990897146,0.29466675783595864,0.07688222111193041,0.3549872146558346,0.6422885572263156
Resource_10,0.13359521390847773,0.1881867927009407,0.1050451409399556,0.10537196367870465,0.13359521390847773,0.27429494051153175,0.14670417510476336,0.11730170917992133,0.18196903275954884,0.01595738645704735,0.047533301483164356,0.18153606845183604,0.17072773548572406,0.28616003275118596,0.15778980522981495,0.007651737428730076
Resource_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource_13,1.9037703943412463e-09,1.9037700296724367e-09,1.903770426432101e-09,1.9037703943412463e-09,1.9037703943412463e-09,1.903770375519593e-09,1.9037703943412463e-09,1.9037700421488437e-09,1.9037693013760953e-09,1.9037700391836365e-09,1.903770368279378e-09,1.9037703943412463e-09,1.9037703943412463e-09,1.90377050019122e-09,1.9037703943412463e-09,1.903770364426029e-09
Resource_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource_15,0.07735553730675056,0.02769466232712095,0.06687517771253111,0.06289658245243165,0.07735553730675056,0.1039721153901529,0.08170878876083795,0.06715206183867972,0.01385091658425448,0.010216723215492699,0.03605547828995714,0.09262753093079663,0.08824905420005648,0.04193402046303898,0.08947378091743585,0.006605193845645092
Resource_16,0.5139798748513984,0.024051878870106232,0.36521820482905004,0.43537458264120593,0.5139798748513984,0.6619970765017434,0.5218420125537367,0.035927371289619536,0.009508852832493865,0.020071145255409144,0.09888357758617844,0.5152668995446695,0.852015915051156,0.12614461953854136,0.18758056296302286,0.17205768007596617
Resource_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
