species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,0.0409491506238042,on,no_extinction_control,0.0006434014459593,True,False,4.421980676333747e-05
All NG,0.0449843266896944,off,hard_extinction,0.0052633726080326,False,False,3.680212772450074e-05
All NG,0.0449843266896944,off,no_extinction_control,0.1571106076320525,False,False,3.68052318040536e-05
All NG,0.0449843266896944,on,hard_extinction,0.0002673677688853,True,False,2.7913629156830003e-05
All NG,0.0449843266896944,on,no_extinction_control,0.0026948144085601,True,False,2.7902129409266548e-05
All NG,0.0494171336132383,off,hard_extinction,0.0043247147396874,False,False,4.107830972167718e-05
All NG,0.0494171336132383,off,no_extinction_control,0.0863732425553447,False,False,4.108107427778688e-05
All NG,0.0494171336132383,on,hard_extinction,0.0002822383209972,True,False,2.9737084890834112e-05
All NG,0.0494171336132383,on,no_extinction_control,0.0029569893296255,True,False,2.9725284698941767e-05
All NG,0.0542867543932385,off,hard_extinction,0.0034989452205396,False,False,3.521667188118591e-05
All NG,0.0542867543932385,off,no_extinction_control,0.0529341282313522,False,False,3.5327161089547655e-05
All NG,0.0542867543932385,on,hard_extinction,0.0002784970386764,True,False,2.963048459848211e-05
All NG,0.0542867543932385,on,no_extinction_control,0.0032690296897825,True,False,2.9619064463360328e-05
All NG,0.0596362331659464,off,hard_extinction,0.0027616994755379,False,False,3.306535759813652e-05
All NG,0.0596362331659464,off,no_extinction_control,0.019158471526155,False,False,3.603727271887405e-05
All NG,0.0596362331659464,on,hard_extinction,10.85923225478414,True,False,0.1418368384215496
All NG,0.0596362331659464,on,no_extinction_control,0.0036448387886149,True,False,3.7688061443595616e-05
All NG,0.0655128556859551,off,hard_extinction,0.0021382820677158,False,False,3.3450076581046815e-05
All NG,0.0655128556859551,off,no_extinction_control,0.0021382820677158,False,False,3.3450076581046815e-05
All NG,0.0655128556859551,on,hard_extinction,10.858762421151106,True,False,0.2793844404053672
All NG,0.0655128556859551,on,no_extinction_control,0.0040873926293301,True,False,4.420792706631746e-05
All NG,0.0719685673001152,off,hard_extinction,0.0016260267693652,False,False,2.664815185706229e-05
All NG,0.0719685673001152,off,no_extinction_control,0.0016260267693652,False,False,2.664815185706229e-05
