resource_id,dm_y0
U_Ai,0.0815672922404797
U_Ac,0.09510078781705528
U_Bfi,0.0
U_Bf,0.0
U_Bt,0.0010374687797323348
U_Bu,0.0010247955235002347
U_Bx,0.0011716518049352748
U_Ba,0.01774642364458384
U_Dl,0.025301710142190046
U_Mf,0.0904087660938272
U_Bd,0.001003509159746927
U_Bv,0.0010042243083519093
S_mask_16896,0.12889379904927759
S_mask_07681,0.021374722043076288
S_mask_17916,0.002000292753485257
S_mask_04607,0.030064590481684163
S_mask_32253,0.08257882062758798
S_mask_24575,0.07174704187888943
F_All_Shared,0.2355670466047017
