resource_id,bt_resource_y0
Resource_1,0.05626833033915598
Resource_2,0.0391241039519017
Resource_3,0.015627700690437108
Resource_4,0.09690264123607861
Resource_5,0.11373386102509234
Resource_6,0.0153694835039783
Resource_7,0.10874995331780894
Resource_8,0.12099707936798276
Resource_9,0.2332315526690183
Resource_10,0.09266978543348559
Resource_11,0.0
Resource_12,0.0
Resource_13,1.3535028653421932e-10
Resource_14,0.0
Resource_15,0.036913608744998105
Resource_16,0.3148365426369516
Resource_17,0.004750197094735606
