resource_id,dm_y0
U_Ai,0.08156729236578103
U_Ac,0.09510217970356317
U_Bfi,1.2698410580811993e-09
U_Bf,2.0332195168396465e-09
U_Bt,0.001037468674038495
U_Bu,0.0010247952161845978
U_Bx,0.0011716519432475843
U_Ba,0.017746437944464975
U_Dl,0.02530473559833824
U_Mf,0.09040982781580928
U_Bd,0.001003509059662307
U_Bv,0.001004224046143873
S_mask_16896,0.12889428049379045
S_mask_07681,0.021373622090782078
S_mask_17916,0.002000298045141948
S_mask_04607,0.030064633199771255
S_mask_32253,0.08257791497857526
S_mask_24575,0.07174571504336498
F_All_Shared,0.23556759385284548
