species,auc
Col,1.0181541153189215
Cs,0.5610038015044893
Et,0.15537918501757705
Eu.c,6.6977960321988235
Eu.l,6.975804714248682
Im,0.17839552747503687
Ld,1.2488560358682488
Lsp,1.5260365237243543
Mi,9.314450190712929
Va,1.3171496397596383
