resource_id,bt_resource_y0
Resource_1,0.05576988907420756
Resource_2,0.03498571588482034
Resource_3,0.014766762690056248
Resource_4,0.059670066810309536
Resource_5,0.1154192692913409
Resource_6,0.013477328201622488
Resource_7,0.11400032402555806
Resource_8,0.12190432461804575
Resource_9,0.2003289548345779
Resource_10,0.09241192355166566
Resource_11,0.0
Resource_12,0.0
Resource_13,9.091820352136182e-10
Resource_14,0.0
Resource_15,0.053550619087983975
Resource_16,0.35575971613155355
Resource_17,0.0
