species,mean_growth
Ai,0.07933333333333333
Ac,0.5983333333333333
Bfi,0.45599999999999996
Bf,0.5881666666666666
Bt,0.6916666666666665
Bu,0.5136666666666666
Bx,0.6188333333333333
Ba,0.7301666666666667
Csp,0.12016666666666669
Dl,0.28983333333333333
Ls,0.07566666666666665
Mf,0.3216666666666667
Pm,0.47083333333333327
Bd,0.6168333333333333
Bv,0.6133333333333333
Rg,0.5781666666666666
