species,Ai_Af,Ai_Ao,Ai_As,Ai_Bl.s,Ai_Col,Ai_Cs,Ai_Et,Ai_Eu.c,Ai_Eu.l,Ai_Im,Ai_Ld,Ai_Lsp,Ai_Mi,Ai_Pc,Ai_Va,Ai_Vp,Ac_Af,Ac_Ao,Ac_As,Ac_Bl.s,Ac_Col,Ac_Cs,Ac_Et,Ac_Eu.c,Ac_Eu.l,Ac_Im,Ac_Ld,Ac_Lsp,Ac_Mi,Ac_Pc,Ac_Va,Ac_Vp,Bfi_Af,Bfi_Ao,Bfi_As,Bfi_Col,Bfi_Cs,Bfi_Et,Bfi_Eu.c,Bfi_Eu.l,Bfi_Im,Bfi_Ld,Bfi_Lsp,Bfi_Mi,Bfi_Pc,Bfi_Va,Bfi_Vp,Bf_Af,Bf_Ao,Bf_As,Bf_Bl.s,Bf_Col,Bf_Cs,Bf_Et,Bf_Eu.c,Bf_Eu.l,Bf_Im,Bf_Ld,Bf_Lsp,Bf_Mi,Bf_Pc,Bf_Va,Bf_Vp,Bt_Af,Bt_Ao,Bt_As,Bt_Bl.s,Bt_Col,Bt_Cs,Bt_Et,Bt_Eu.c,Bt_Eu.l,Bt_Im,Bt_Ld,Bt_Lsp,Bt_Mi,Bt_Pc,Bt_Va,Bt_Vp,Bu_Af,Bu_Ao,Bu_As,Bu_Bl.s,Bu_Col,Bu_Cs,Bu_Et,Bu_Eu.c,Bu_Eu.l,Bu_Im,Bu_Ld,Bu_Lsp,Bu_Mi,Bu_Pc,Bu_Va,Bu_Vp,Bx_Af,Bx_Ao,Bx_As,Bx_Bl.s,Bx_Col,Bx_Cs,Bx_Et,Bx_Eu.c,Bx_Eu.l,Bx_Im,Bx_Ld,Bx_Lsp,Bx_Mi,Bx_Pc,Bx_Va,Bx_Vp,Ba_Af,Ba_Ao,Ba_As,Ba_Bl.s,Ba_Col,Ba_Cs,Ba_Et,Ba_Eu.c,Ba_Eu.l,Ba_Im,Ba_Ld,Ba_Lsp,Ba_Mi,Ba_Pc,Ba_Va,Ba_Vp,Csp_Af,Csp_Ao,Csp_As,Csp_Bl.s,Csp_Col,Csp_Cs,Csp_Et,Csp_Eu.c,Csp_Eu.l,Csp_Im,Csp_Ld,Csp_Lsp,Csp_Mi,Csp_Pc,Csp_Va,Csp_Vp,Dl_Af,Dl_Ao,Dl_As,Dl_Bl.s,Dl_Col,Dl_Cs,Dl_Et,Dl_Eu.c,Dl_Eu.l,Dl_Im,Dl_Ld,Dl_Lsp,Dl_Mi,Dl_Pc,Dl_Va,Dl_Vp,Ls_Af,Ls_Ao,Ls_As,Ls_Cs,Ls_Et,Ls_Eu.c,Ls_Eu.l,Ls_Im,Ls_Ld,Ls_Lsp,Ls_Mi,Ls_Va,Ls_Vp,Mf_Af,Mf_Ao,Mf_As,Mf_Bl.s,Mf_Col,Mf_Cs,Mf_Et,Mf_Eu.c,Mf_Eu.l,Mf_Im,Mf_Ld,Mf_Lsp,Mf_Mi,Mf_Pc,Mf_Va,Mf_Vp,Pm_Af,Pm_As,Pm_Bl.s,Pm_Col,Pm_Cs,Pm_Et,Pm_Eu.c,Pm_Eu.l,Pm_Im,Pm_Ld,Pm_Lsp,Pm_Mi,Pm_Pc,Pm_Va,Pm_Vp,Bd_Af,Bd_Ao,Bd_As,Bd_Bl.s,Bd_Col,Bd_Cs,Bd_Et,Bd_Eu.l,Bd_Im,Bd_Ld,Bd_Lsp,Bd_Mi,Bd_Pc,Bd_Va,Bd_Vp,Bv_Af,Bv_Ao,Bv_As,Bv_Bl.s,Bv_Col,Bv_Cs,Bv_Et,Bv_Eu.c,Bv_Eu.l,Bv_Im,Bv_Ld,Bv_Lsp,Bv_Mi,Bv_Pc,Bv_Va,Bv_Vp,Rg_Af,Rg_Ao,Rg_As,Rg_Col,Rg_Cs,Rg_Et,Rg_Eu.l,Rg_Im,Rg_Ld,Rg_Lsp,Rg_Mi,Rg_Pc,Rg_Va,Rg_Vp
Ls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19203827084627312,0.7698002914160818,0.37462546816479403,0.6805689523350296,0.9342707065035344,0.8492342991302492,1,1,0.9989257579374553,1,1,0.12881918143615997,0.7773803991111099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991506818318059,0.9987850041909159,0.9994350859816707,1,0.9378943144939139,0.9950503721996573,0.9848958333333333,0.9719956230799239,1,0.9536449296053066,1,0.9964713934169097,0.6303571394958912,1,0.5479240038957125,0.5582165200535336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9837293683799045,0.8170419024930973,1,0.4773555235963955,0.9812404114015479,0.8762304766665383,0.2690569869893244,1,0.9996953838173951,0.809985581411412,1,0.5505342428493217,0.3585176719984895,0.5910880363541985,0.9688522790742794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999801162874872,0.99973154266378,1,0.9592851421110721,0.8440712919307026,0.9860847282096475,0.8657462868320588,1,0.9709906737099279,0.9027041359144615,0.999895083100356,0.9044692384866284,1,0.8992153477487786,0.9999757924932521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9999652424771687,0.9988586851833033,1,0.7824603720888446,0.962869084015471,0.9231802861674036,0.9994635121179201,1,0.940096683406681,0.9330970326418312,0.9944508552096312,0.8913873560039415,1,0.7694745141184586,0.9938298650258551,,,,,,,,,,,,,,
Rg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9209709538647748,0.4533468449672548,1,0.579469494118681,1,0.8766050249501761,1,0.634676243670872,0.7885703401677292,1,0.5244582518240447,0.7956119356848923,0.924785778535246,0.8447550429068579
Af,0.17649646009306866,,,,,,,,,,,,,,,,0.15984905715268247,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0014126223751327182,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.006415367639461358,,,,,,,,,,,,,,,,0.7452283040806741,,,,,,,,,,,,,,,,0.7137039202262166,,,,,,,,,,,,,,,,0.8079617291537269,,,,,,,,,,,,,0.0008493181681940259,,,,,,,,,,,,,,,,0.01627063162009552,,,,,,,,,,,,,,,0.000019883712512779232,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.07902904613522525,,,,,,,,,,,,,
Ao,,0.3235589272861432,,,,,,,,,,,,,,,,0.017620471014926527,,,,,,,,,,,,,,,,0.0005648011376514255,,,,,,,,,,,,,,,0.0007422827802830335,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00009000495027226497,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.017285439515938375,,,,,,,,,,,,,,,,0.7088079323290053,,,,,,,,,,,,,,,,0.7281914288666004,,,,,,,,,,,,,,,,0.2301997085839183,,,,,,,,,,,,,0.0012149958090842362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026845733622010216,,,,,,,,,,,,,,,0.00003475752283134781,,,,,,,,,,,,,,,,0.5466531550327453,,,,,,,,,,,,
As,,,0.27679894743727895,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00010667804565820353,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.05566461046495366,,,,,,,,,,,,,,,,0.8038945212674449,,,,,,,,,,,,,,,,0.5371646370168626,,,,,,,,,,,,,,,,0.625374531835206,,,,,,,,,,,,,0.0005649140183292373,,,,,,,,,,,,,,,0.18295809750690273,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0011413148166966162,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Bl.s,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002398332285243703,,,,,,,,,,,,,,,,0.006724082866730976,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.04071485788892789,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
