species,Ai_Af,Ai_Ao,Ai_As,Ai_Bl.s,Ai_Col,Ai_Cs,Ai_Et,Ai_Eu.c,Ai_Eu.l,Ai_Im,Ai_Ld,Ai_Lsp,Ai_Mi,Ai_Pc,Ai_Va,Ai_Vp,Ac_Af,Ac_Ao,Ac_As,Ac_Bl.s,Ac_Col,Ac_Cs,Ac_Et,Ac_Eu.c,Ac_Eu.l,Ac_Im,Ac_Ld,Ac_Lsp,Ac_Mi,Ac_Pc,Ac_Va,Ac_Vp,Bfi_Af,Bfi_Ao,Bfi_As,Bfi_Col,Bfi_Cs,Bfi_Et,Bfi_Eu.c,Bfi_Eu.l,Bfi_Im,Bfi_Ld,Bfi_Lsp,Bfi_Mi,Bfi_Pc,Bfi_Va,Bfi_Vp,Bf_Af,Bf_Ao,Bf_As,Bf_Bl.s,Bf_Col,Bf_Cs,Bf_Et,Bf_Eu.c,Bf_Eu.l,Bf_Im,Bf_Ld,Bf_Lsp,Bf_Mi,Bf_Pc,Bf_Va,Bf_Vp,Bt_Af,Bt_Ao,Bt_As,Bt_Bl.s,Bt_Col,Bt_Cs,Bt_Et,Bt_Eu.c,Bt_Eu.l,Bt_Im,Bt_Ld,Bt_Lsp,Bt_Mi,Bt_Pc,Bt_Va,Bt_Vp,Bu_Af,Bu_Ao,Bu_As,Bu_Bl.s,Bu_Col,Bu_Cs,Bu_Et,Bu_Eu.c,Bu_Eu.l,Bu_Im,Bu_Ld,Bu_Lsp,Bu_Mi,Bu_Pc,Bu_Va,Bu_Vp,Bx_Af,Bx_Ao,Bx_As,Bx_Bl.s,Bx_Col,Bx_Cs,Bx_Et,Bx_Eu.c,Bx_Eu.l,Bx_Im,Bx_Ld,Bx_Lsp,Bx_Mi,Bx_Pc,Bx_Va,Bx_Vp,Ba_Af,Ba_Ao,Ba_As,Ba_Bl.s,Ba_Col,Ba_Cs,Ba_Et,Ba_Eu.c,Ba_Eu.l,Ba_Im,Ba_Ld,Ba_Lsp,Ba_Mi,Ba_Pc,Ba_Va,Ba_Vp,Csp_Af,Csp_Ao,Csp_As,Csp_Bl.s,Csp_Col,Csp_Cs,Csp_Et,Csp_Eu.c,Csp_Eu.l,Csp_Im,Csp_Ld,Csp_Lsp,Csp_Mi,Csp_Pc,Csp_Va,Csp_Vp,Dl_Af,Dl_Ao,Dl_As,Dl_Bl.s,Dl_Col,Dl_Cs,Dl_Et,Dl_Eu.c,Dl_Eu.l,Dl_Im,Dl_Ld,Dl_Lsp,Dl_Mi,Dl_Pc,Dl_Va,Dl_Vp,Ls_Af,Ls_Ao,Ls_As,Ls_Cs,Ls_Et,Ls_Eu.c,Ls_Eu.l,Ls_Im,Ls_Ld,Ls_Lsp,Ls_Mi,Ls_Va,Ls_Vp,Mf_Af,Mf_Ao,Mf_As,Mf_Bl.s,Mf_Col,Mf_Cs,Mf_Et,Mf_Eu.c,Mf_Eu.l,Mf_Im,Mf_Ld,Mf_Lsp,Mf_Mi,Mf_Pc,Mf_Va,Mf_Vp,Pm_Af,Pm_As,Pm_Bl.s,Pm_Col,Pm_Cs,Pm_Et,Pm_Eu.c,Pm_Eu.l,Pm_Im,Pm_Ld,Pm_Lsp,Pm_Mi,Pm_Pc,Pm_Va,Pm_Vp,Bd_Af,Bd_Ao,Bd_As,Bd_Bl.s,Bd_Col,Bd_Cs,Bd_Et,Bd_Eu.l,Bd_Im,Bd_Ld,Bd_Lsp,Bd_Mi,Bd_Pc,Bd_Va,Bd_Vp,Bv_Af,Bv_Ao,Bv_As,Bv_Bl.s,Bv_Col,Bv_Cs,Bv_Et,Bv_Eu.c,Bv_Eu.l,Bv_Im,Bv_Ld,Bv_Lsp,Bv_Mi,Bv_Pc,Bv_Va,Bv_Vp,Rg_Af,Rg_Ao,Rg_As,Rg_Col,Rg_Cs,Rg_Et,Rg_Eu.l,Rg_Im,Rg_Ld,Rg_Lsp,Rg_Mi,Rg_Pc,Rg_Va,Rg_Vp
Col,,,,,0.27155148351519315,,,,,,,,,,,,,,,,0.054979467356228884,,,,,,,,,,,,,,,0.4944897216692615,,,,,,,,,,,,,,,,0.1609518248556704,,,,,,,,,,,,,,,,0.43661890313113894,,,,,,,,,,,,,,,,0.6472902448815737,,,,,,,,,,,,,,,,0.23905295315682282,,,,,,,,,,,,,,,,0.12274525205803828,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.44084473176918393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06210568550608616,,,,,,,,,,,,,,,0.5226444764036047,,,,,,,,,,,,,,,,0.15592870806929748,,,,,,,,,,,,,,,0.21753962791115544,,,,,,,,,,,,,,,0.42053050588131907,,,,,,,,,,
Cs,,,,,,0.013147280984876705,,,,,,,,,,,,,,,,0.022344020782468218,,,,,,,,,,,,,,,0.19154606155696835,,,,,,,,,,,,,,,,0.011308697331246426,,,,,,,,,,,,,,,,0.03002775526369678,,,,,,,,,,,,,,,,0.0373302870625703,,,,,,,,,,,,,,,,0.06749420224393143,,,,,,,,,,,,,,,,0.025818426440645647,,,,,,,,,,,,,,,,0.025221613049253785,,,,,,,,,,,,,,,,0.13851269503554373,,,,,,,,,,,,,,0.3194310476649704,,,,,,,,,,,,,,,0.004949627800342737,,,,,,,,,,,,,,,0.018759588598452104,,,,,,,,,,,,,,,,0.013915271790352601,,,,,,,,,,,,,,,0.03713091598452895,,,,,,,,,,,,,,,0,,,,,,,,,
Et,,,,,,,0.06599756446741233,,,,,,,,,,,,,,,,0.13233673325893244,,,,,,,,,,,,,,,0.2397152516627231,,,,,,,,,,,,,,,,0.2417733365261642,,,,,,,,,,,,,,,,0.28604600972228406,,,,,,,,,,,,,,,,0.2505476755693166,,,,,,,,,,,,,,,,0.5125744062079215,,,,,,,,,,,,,,,,0.0022769695591369717,,,,,,,,,,,,,,,,0.34336512262547453,,,,,,,,,,,,,,,,0.23155300048632133,,,,,,,,,,,,,,0.06572929349646561,,,,,,,,,,,,,,,0.015104166666666667,,,,,,,,,,,,,,,0.1237695233334617,,,,,,,,,,,,,,,,0.13425371316794113,,,,,,,,,,,,,,,0.07681971383259645,,,,,,,,,,,,,,,0.12339497504982387,,,,,,,,
Eu.c,,,,,,,,0.12581033933463037,,,,,,,,,,,,,,,,0.030016335605119293,,,,,,,,,,,,,,,0.1769628589810878,,,,,,,,,,,,,,,,0.34493863315768863,,,,,,,,,,,,,,,,0.032737981600190154,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.5294210754857803,,,,,,,,,,,,,,,,0.045454080271011055,,,,,,,,,,,,,,,,0.0001527417137620284,,,,,,,,,,,,,,,,0.27578344039068803,,,,,,,,,,,,,,0.1507657008697508,,,,,,,,,,,,,,,0.028004376920076013,,,,,,,,,,,,,,,0.7309430130106757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005364878820799635,,,,,,,,,,,,,,,,,,,,,,
Eu.l,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,
Im,,,,,,,,,,0.017353829872906568,,,,,,,,,,,,,,,,0.07796030518992668,,,,,,,,,,,,,,,0.31283301422415466,,,,,,,,,,,,,,,,0.19690884913035264,,,,,,,,,,,,,,,,0.05770719151597842,,,,,,,,,,,,,,,,0.23858182244319648,,,,,,,,,,,,,,,,0.8245016975290621,,,,,,,,,,,,,,,,0.09569945303472814,,,,,,,,,,,,,,,,0.4445893752580014,,,,,,,,,,,,,,,,0.5531529822032509,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.04635507039469349,,,,,,,,,,,,,,,0.0003046161826049057,,,,,,,,,,,,,,,0.0290093262900722,,,,,,,,,,,,,,,,0.059903316593319066,,,,,,,,,,,,,,0.3653237563291279,,,,,,
Ld,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.000024109602251836853,,,,,,,,,,,,,,,0.7765300357192183,,,,,,,,,,,,,,,,0.21765912147998384,,,,,,,,,,,,,,,,0.10755033973527765,,,,,,,,,,,,,,,,0.14070853989076107,,,,,,,,,,,,,,,,0.888605112828099,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.25954793755108,,,,,,,,,,,,,,0.0010742420625447602,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.1900144185885881,,,,,,,,,,,,,,,0.0972958640855384,,,,,,,,,,,,,,,,0.0669029673581688,,,,,,,,,,,,,,0.2114296598322708,,,,,
Lsp,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00010085728693898134,,,,,,,,,,,,,,,0.0650526466247772,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00553606867065666,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.16476647951071366,,,,,,,,,,,,,,,,0.0727726005716776,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.058685446009389665,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.003528606583090354,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.00010491689964389971,,,,,,,,,,,,,,,,0.005549144790368818,,,,,,,,,,,,,,0,,,,
Mi,,,,,,,,,,,,,0.021631866584643545,,,,,,,,,,,,,,,,0.04302534301822292,,,,,,,,,,,,,,,0.7812202125066596,,,,,,,,,,,,,,,,0.08091011978798983,,,,,,,,,,,,,,,,0.3080528429072784,,,,,,,,,,,,,,,,0.15783388970482523,,,,,,,,,,,,,,,,0.9779583923260394,,,,,,,,,,,,,,,,0.32385818603418204,,,,,,,,,,,,,,,,0.31230461784005775,,,,,,,,,,,,,,,,0.33798776765349786,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.36964286050410883,,,,,,,,,,,,,,,0.4494657571506783,,,,,,,,,,,,,,,0.09553076151337155,,,,,,,,,,,,,,,,0.10861264399605843,,,,,,,,,,,,,,0.4755417481759553,,,
Pc,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00020533260445246274,,,,,,,,,,,,,,,,0.00011819405294924959,,,,,,,,,,,,,,,,0.02293823609796704,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.9997273730726666,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.6414823280015105,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.2043880643151077,,
Va,,,,,,,,,,,,,,,0.03565455198174875,,,,,,,,,,,,,,,,0.05667849950104727,,,,,,,,,,,,,,,0.5350788347408044,,,,,,,,,,,,,,,,0.2023982452229742,,,,,,,,,,,,,,,,0.48572965514654237,,,,,,,,,,,,,,,,0.16981318064908146,,,,,,,,,,,,,,,,0.9240203491551956,,,,,,,,,,,,,,,,0.3322288986357432,,,,,,,,,,,,,,,,0.5571739492324261,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.8711808185638401,,,,,,,,,,,,,,,,0.45207599610428745,,,,,,,,,,,,,,,0.40891196364580146,,,,,,,,,,,,,,,0.10078465225122135,,,,,,,,,,,,,,,,0.23052548588154143,,,,,,,,,,,,,,0.07521422146475405,
Vp,,,,,,,,,,,,,,,,0.0649504557573563,,,,,,,,,,,,,,,,0.01612914649249921,,,,,,,,,,,,,,,0.04188575035270397,,,,,,,,,,,,,,,,0.04566600100640481,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.03681444490087577,,,,,,,,,,,,,,,,0.09489106073607419,,,,,,,,,,,,,,,,0.17471504562829795,,,,,,,,,,,,,,,,0.45764866591683884,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.2226196008888902,,,,,,,,,,,,,,,,0.44178347994646644,,,,,,,,,,,,,,,0.031147720925720563,,,,,,,,,,,,,,,0.000024207506747842507,,,,,,,,,,,,,,,,0.006170134974144851,,,,,,,,,,,,,,0.15524495709314207
