focal_strain,growth_rate,lag_time
Ac,0.76751262,3.39018112
Ai,1.21780790,2.61793123
Ba,1.27218426,2.25357917
Bd,0.56542324,1.47184931
Bf,0.59045327,0.99437227
Bfi,0.65397057,3.24378520
Bt,0.50631468,0.54622522
Bu,0.75749424,0.09673277
Bv,0.40252094,0.00000000
Bx,0.40864983,2.59967728
Csp,0.86854778,10.05021464
Dl,0.51817681,15.57631016
Ls,0.26454461,4.05110524
Mf,1.06727603,3.10648874
Pm,0.18110631,1.93587527
Rg,0.54228804,4.87431901
