species,lag_h
Af,0
Ao,0
As,0
Bl.s,0
Col,5.8
Cs,0.29
Et,12
Eu.c,12.9
Eu.l,14.5
Im,0
Ld,16
Lsp,18
Mi,9
Pc,0
Va,0
Vp,0
