Sample ID,Experiment ID,growth_qc,,Growth Well ID,16S Well ID,Media,Protocol,Initial OD,Final OD,Growth curve time,Growth curve OD,Notes,Data location,,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg,Bb,Bbi,Bc,Bl,Bt47,Bt61,Pg,Pj,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp
2024930_WZY_DM_assembly_Plate1A8,2024930_WZY_DM_assembly_Plate1,,,A8,Plate1_A8,Galactose,cycle 5,,0.9185,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00708327729529,0.000459953071123,0,0.000551943685348,0.00697814516475,0.00342993575895,0.00323281301418,0.0840794214013,0.00148499134391,0.000328537907945,0.0167160087562,0,0.0019186613824,0.199107113731,0,0,0,0,0.0000131415163178,0,0,0,0,0,0,0,0.000354820940581,0,0.0516987251942,0.00830543831285,0.00180038773554,0.0152835834776,0,0.00710956032793,0,0,0.00590054082669,0,0.129075973273,0.373587025882
2024930_WZY_DM_assembly_Plate1A9,2024930_WZY_DM_assembly_Plate1,,,A9,Plate1_A9,Galactose,cycle 5,,0.8635,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00188851798561,0.000563242206235,0,0.00104365467626,0.0321876354916,0.0146277314149,0.000745467625899,0.1195398753,0.0024351942446,0.06313282494,0.0115795971223,0,0.00205417745803,0.273984201439,0,0,0,0,0.00014909352518,0,0,0,0,0,0,0,0.0000331318944844,0,0.00351198081535,0.0113311079137,0.000182225419664,0.0297358752998,0,0.0064772853717,0,0,0.0223971606715,0,0.204871069544,0.0610289496403
2024930_WZY_DM_assembly_Plate1B10,2024930_WZY_DM_assembly_Plate1,,,B10,Plate1_B10,Oligo_xylose,cycle 5,,0.8885,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0,0,0.0208412870454,0,0.0387791672059,0.249894218325,0.0820715510547,0.0536986540701,0.00235722143134,0.0200938753721,0,0.00802030218714,0.0166442830335,0.0478630936974,0.00123610392131,0,0,0,0.0795705966093,0,0,0,0.000143733014106,0.00333460592727,0,0,0.000776158276174,0,0.00045994564514,0.0320237155429,0.0100325643846,0.000402452439498,0,0.00244346123981,0,0,0.106046217808,0,0.107253575126,0.00451321664294
2024930_WZY_DM_assembly_Plate1B11,2024930_WZY_DM_assembly_Plate1,,,B11,Plate1_B11,Oligo_xylose,cycle 5,,0.8875,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0,0.00151309113051,0.00761949462147,0,0.021291353765,0.23033209864,0.00354855896083,0.0259747310737,0.00356657195048,0.083364116095,0,0.064792723767,0.0120506900751,0.0805360767201,0,0,0,0,0.0388900446519,0,0,0,0.000576415668764,0.00172924700629,0,0,0.000810584534199,0,0.017544651918,0.00336842906434,0.0458430586564,0.0250740815912,0,0.00524177998782,0,0,0.151813476761,0,0.000558402679115,0.061460320682
2024930_WZY_DM_assembly_Plate1B12,2024930_WZY_DM_assembly_Plate1,,,B12,Plate1_B12,Oligo_xylose,cycle 5,,0.9915,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0000164373342175,0.00143004807692,0.00595031498674,0,0.000443808023873,0.00287653348806,0.0733269479443,0.386688287467,0.00738036306366,0.127372902851,0.0000821866710875,0.000624618700265,0.0123444379973,0.097259706565,0.000378058687003,0,0,0,0.0465340931698,0.000032874668435,0,0,0.000115061339523,0.00231766412467,0,0,0.00013149867374,0,0.110738320623,0.00682149370027,0.00627906167109,0.0369182526525,0,0.000805429376658,0,0,0.00111773872679,0,0.0100432112069,0.0534706482095
2024930_WZY_DM_assembly_Plate1B1,2024930_WZY_DM_assembly_Plate1,,,B1,Plate1_B1,Fructose,cycle 5,,0.8335,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.029656167845,0.00423355624186,0,0.0014466423339,0.00576529518364,0.00674390617423,0.0056589244238,0.0000425483039383,0.0191254626203,0.00916915949871,0,0.077969766967,0.000127644911815,0.000680772863013,0,0.0000212741519692,0,0.496708900176,0.0000850966078767,0,0,0,0,0,0,0,0.00799908114041,0,0.0280180581434,0.0168916766635,0.0000850966078767,0.0311453584829,0,0.00278691390796,0.0000425483039383,0,0.0000850966078767,0,0.0353363664208,0.0536746854182
2024930_WZY_DM_assembly_Plate1B2,2024930_WZY_DM_assembly_Plate1,,,B2,Plate1_B2,Fructose,cycle 5,,0.8915,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.109137088703,0.00016730263981,0,0.00100381583886,0.078855310897,0.0267870115518,0.00158008048709,0.0000557675466033,0.0117855415155,0.0348918949915,0,0.00317875015639,0.000130124275408,0.099470713958,0,0,0,0.231769923683,0,0,0,0,0.000148713457609,0,0,0,0.00299285833438,0,0.177024782101,0.0133470328204,0.000130124275408,0.013774584011,0,0.00109676174986,0,0,0.00154290212269,0,0.023385191209,0.0592437236749
2024930_WZY_DM_assembly_Plate1B3,2024930_WZY_DM_assembly_Plate1,,,B3,Plate1_B3,Fructose,cycle 5,,0.9065,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0937880367047,0.000649638561725,0,0.0026974122889,0.00485816663551,0.0230904140961,0.00120041908145,0,0.0033329282732,0.0416898485698,0,0,0.0000423677322864,0.347288301552,0,0,0,0.169287335639,0.0000564903097152,0,0,0,0,0,0,0,0.00275390259862,0,0.13478587898,0.0124137455599,0.0000988580420016,0.035108727488,0,0.00588911478781,0,0,0.0000423677322864,0,0.0273413099022,0.0000847354645728
2024930_WZY_DM_assembly_Plate1B4,2024930_WZY_DM_assembly_Plate1,,,B4,Plate1_B4,Fructose,cycle 5,,0.8665,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0878357595952,0.000524945654111,0,0.0000771978903104,0.00037054987349,0.0113017711414,0.0128457289476,0.0000771978903104,0.000972693417911,0.00270192616086,0,0,0,0.00365918000071,0,0,0,0.212834583586,0.000200714514807,0,0,0,0,0,0,0,0.000910935105663,0,0.195279783329,0.00704044759631,0.000200714514807,0.00490978582374,0,0.00890863654182,0,0,0.301519519974,0,0.00379813620327,0.0105297922383
2024930_WZY_DM_assembly_Plate1B5,2024930_WZY_DM_assembly_Plate1,,,B5,Plate1_B5,Fructose,cycle 5,,0.8965,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0781661747669,0.000445109505158,0,0.000222554752579,0.00190407954984,0.0188924256634,0.00034619628179,0.0000989132233685,0.0103611601478,0.0189789747338,0.0401093120759,0,0,0.0002349189055,0,0,0,0.160078687869,0,0,0,0,0.0000494566116842,0.0000865490704474,0,0,0.000148369835053,0,0.209102554201,0.000680028410658,0.0000741849175263,0.000445109505158,0,0.000358560434711,0,0,0.238863070282,0,0.032579542947,0.0842740663099
