run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
0,Col,0.0,3.066493397480315,0.0,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
1,Col,0.0,3.066493397480315,0.0,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
2,Col,0.01,3.066493397480315,0.03066493397480315,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
3,Col,0.01,3.066493397480315,0.03066493397480315,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
4,Col,0.010985411419875584,3.066493397480315,0.03368669158765333,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
5,Col,0.010985411419875584,3.066493397480315,0.03368669158765333,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
6,Col,0.012067926406393288,3.066493397480315,0.03700621664648336,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
7,Col,0.012067926406393288,3.066493397480315,0.03700621664648336,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855773358,0.0,0.3826072971154663,0.0,0.0019130364855773315,8.881784197001252e-16,True,False,True,bt_only
8,Col,0.013257113655901088,3.066493397480315,0.0406528514954668,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
9,Col,0.013257113655901088,3.066493397480315,0.0406528514954668,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855773352,0.0,0.38260729711546637,0.0,0.001913036485577332,8.881784197001252e-16,True,False,True,bt_only
