ratio_index,ratio
0,0.0
1,0.01
2,0.010985411419875584
3,0.012067926406393288
4,0.013257113655901088
5,0.014563484775012436
6,0.015998587196060583
7,0.017575106248547922
8,0.019306977288832496
9,0.021209508879201904
10,0.023299518105153717
11,0.025595479226995357
12,0.028117686979742307
13,0.030888435964774818
14,0.03393221771895328
15,0.0372759372031494
16,0.040949150623804234
17,0.04498432668969444
18,0.04941713361323833
19,0.054286754393238594
20,0.05963623316594643
21,0.0655128556859551
22,0.07196856730011521
23,0.07906043210907697
24,0.08685113737513525
25,0.09540954763499938
26,0.10481131341546858
27,0.1151395399326447
28,0.12648552168552957
29,0.13894954943731375
30,0.15264179671752334
31,0.16768329368110074
32,0.18420699693267154
33,0.20235896477251566
34,0.22229964825261944
35,0.2442053094548651
36,0.2682695795279725
37,0.29470517025518095
38,0.32374575428176433
39,0.35564803062231287
40,0.3906939937054615
41,0.42919342601287763
42,0.47148663634573923
43,0.517947467923121
44,0.5689866029018296
45,0.6250551925273969
46,0.6866488450042998
47,0.7543120063354615
48,0.8286427728546842
49,0.9102981779915218
50,0.9999999999999994
51,1.0985411419875584
52,1.2067926406393277
53,1.325711365590108
54,1.456348477501243
55,1.5998587196060574
56,1.7575106248547911
57,1.9306977288832496
58,2.1209508879201904
59,2.329951810515372
60,2.5595479226995357
61,2.811768697974228
62,3.0888435964774787
63,3.3932217718953264
64,3.727593720314938
65,4.094915062380423
66,4.498432668969444
67,4.941713361323833
68,5.428675439323859
69,5.963623316594643
70,6.551285568595502
71,7.196856730011514
72,7.9060432109076935
73,8.68511373751352
74,9.540954763499935
75,10.481131341546853
76,11.513953993264469
77,12.648552168552959
78,13.894954943731374
79,15.264179671752318
80,16.768329368110066
81,18.420699693267146
82,20.235896477251554
83,22.229964825261934
84,24.420530945486497
85,26.826957952797247
86,29.4705170255181
87,32.374575428176435
88,35.56480306223125
89,39.06939937054613
90,42.91934260128774
91,47.1486636345739
92,51.794746792312075
93,56.89866029018293
94,62.505519252739695
95,68.66488450042998
96,75.43120063354615
97,82.86427728546842
98,91.02981779915208
99,100.0
