species,F,C,D
Col,0.050706067774216164,0.0010259258433070442,6.7594480135931905
Cs,0.02901622726642177,0.0006915836416286745,12.970547504059622
Et,0.14207089564335662,0.0013240160182432065,42.65105214974467
Eu.c,0.002754666261505331,0.0005056153587818653,1.1331689262809366
Eu.l,0.00218662441219135,0.0004175741268723919,1.1154338171401188
Im,0.064235694688907,0.0011911675746669756,37.7409758696817
Ld,0.13953488372093023,0.0008823044032577248,5.631532563479907
Lsp,0.014116864309590482,0.0016837759068464198,4.185166177001942
Mi,0.0022555024227943307,0.0007745389960790504,0.7690462026960891
Va,0.005442424249272232,0.01578364872804808,3.1498173329836914
