species,bt_monoculture_lag_h,manually_set_lag_h,color
Col,9.32648522,5.8,#f2edf8
Cs,0.29305982,0.29,#6a3d9a
Et,0.0,12.0,#8585ad
Eu.c,12.37653371,12.8,#62a02c
Eu.l,17.40757086,14.4,#4a7821
Im,14.44728438,0.0,#52527a
Ld,8.19869407,16.0,#33a02c
Lsp,9.12154275,18.0,#8dde87
Mi,16.38052541,9.0,#fdbf6f
Va,1.61140098,0.0,#ecc2ac
