focal_species,Manual lag (used in model),Bt monoculture,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Va
Col,0,0,1,0,1,0,1,0,0,0,0,0
Cs,0,0,0,1,0,1,0,0,1,0,0,0
Et,0,0,0,1,1,1,1,0,1,0,0,0
Eu.c,0,0,0,0,0,1,1,0,0,0,0,0
Eu.l,0,0,0,0,0,0,1,0,0,0,0,0
Im,0,0,1,1,0,0,1,1,0,0,1,0
Ld,0,0,1,1,0,1,1,1,1,1,0,0
Lsp,0,0,0,0,0,0,0,0,0,1,0,0
Mi,0,0,0,0,0,0,0,0,0,0,1,0
Va,0,0,0,0,0,0,0,0,0,0,0,1
