species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
Col,0.0,off,hard_extinction,0.0,True,False,0.0
Col,0.0,off,no_extinction_control,2.849193698750696e-07,True,False,3.4293741983537336e-18
Col,0.0,on,hard_extinction,0.0,True,False,0.0
Col,0.0,on,no_extinction_control,3.0251001703618385e-10,True,False,3.6410844146840325e-21
Col,0.01,off,hard_extinction,0.0,True,False,0.0
Col,0.01,off,no_extinction_control,0.00011746791151523439,True,False,1.4145852868227334e-15
Col,0.01,on,hard_extinction,0.0,True,False,0.0
Col,0.01,on,no_extinction_control,2.956186406777306e-09,True,False,3.558149071082299e-20
Col,0.010985411419875584,off,hard_extinction,0.0,True,False,0.0
Col,0.010985411419875584,off,no_extinction_control,0.00021177749378153976,True,False,2.551350026796917e-15
Col,0.010985411419875584,on,hard_extinction,0.0,True,False,0.0
Col,0.010985411419875584,on,no_extinction_control,3.699730299899784e-09,True,False,4.4531004998077016e-20
Col,0.012067926406393288,off,hard_extinction,0.0,True,False,0.0
Col,0.012067926406393288,off,no_extinction_control,0.00040411227221781587,True,False,4.872662310829695e-15
Col,0.012067926406393288,on,hard_extinction,0.0,True,False,0.0
Col,0.012067926406393288,on,no_extinction_control,4.733527347866584e-09,True,False,5.697407813768288e-20
Col,0.013257113655901088,off,hard_extinction,0.0,True,False,0.0
Col,0.013257113655901088,off,no_extinction_control,0.0008201164364951552,True,False,9.907517661924247e-15
Col,0.013257113655901088,on,hard_extinction,0.0,True,False,0.0
Col,0.013257113655901088,on,no_extinction_control,6.204604829918026e-09,True,False,7.468040148669592e-20
Col,0.014563484775012436,off,hard_extinction,0.0,True,False,0.0
Col,0.014563484775012436,off,no_extinction_control,0.001777780936770057,True,False,2.15731186533586e-14
Col,0.014563484775012436,on,hard_extinction,0.0,True,False,0.0
Col,0.014563484775012436,on,no_extinction_control,8.351937808015464e-09,True,False,1.005263065571751e-19
Col,0.015998587196060583,off,hard_extinction,0.0,True,False,0.0
Col,0.015998587196060583,off,no_extinction_control,3.636613907787023e-07,True,False,4.377139333185184e-18
Col,0.015998587196060583,on,hard_extinction,0.0,True,False,0.0
Col,0.015998587196060583,on,no_extinction_control,1.1575323810575355e-08,True,False,1.3932388586271098e-19
