run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
22,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
23,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.5757505947953773e-22,0.0019130364893907858,1.5348629407939327e-20,0.3826072978781581,7.674314703969664e-23,0.0019130364893907906,3.510436386022775e-11,True,False,True,bt_only
24,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
25,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,1.0785645031654141e-17,0.0019130364893907858,1.2948509352444334e-15,0.3826072978781581,6.474254676222167e-18,0.0019130364893907906,1.8723968810974156e-06,True,False,True,bt_only
26,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
27,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.8447564228745768e-17,0.0019130364893907858,2.214688664838186e-15,0.3826072978781581,1.107344332419093e-17,0.0019130364893907906,3.2024927474338938e-06,True,False,True,bt_only
28,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
29,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,9.006031882048358e-23,0.0019130364893907858,8.8104369553322e-21,0.3826072978781581,4.4052184776661e-23,0.0019130364893907906,1.9980461729574017e-11,True,False,True,bt_only
30,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
31,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,2.010492120868664e-22,0.0019130364893907858,1.966827822963101e-20,0.3826072978781581,9.834139114815504e-23,0.0019130364893907906,4.460609659417969e-11,True,False,True,bt_only
