species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,0.0449843266896944,on,no_extinction_control,0.431246265587327,False,False,0.0109040751158958
All NG,0.0494171336132383,off,hard_extinction,0.0923261483137496,False,False,0.0012771611070986
All NG,0.0494171336132383,off,no_extinction_control,0.0923261483137496,False,False,0.0012771611070986
All NG,0.0494171336132383,on,hard_extinction,0.1615043250981112,False,False,0.015385673469315
All NG,0.0494171336132383,on,no_extinction_control,0.4112614101313196,False,False,0.0153877068306392
All NG,0.0542867543932385,off,hard_extinction,0.0633357166732562,False,False,0.0012216470816581
All NG,0.0542867543932385,off,no_extinction_control,0.0633357166732562,False,False,0.0012216470816581
All NG,0.0542867543932385,on,hard_extinction,0.1871673278680554,False,False,0.0174905151888365
All NG,0.0542867543932385,on,no_extinction_control,0.3826653190158824,False,False,0.0174939125081237
All NG,0.0596362331659464,off,hard_extinction,0.0352006786181764,False,False,0.0011612539625192
All NG,0.0596362331659464,off,no_extinction_control,0.0352006786181764,False,False,0.0011612539625192
All NG,0.0596362331659464,on,hard_extinction,10.859232251828702,False,False,0.1660204969509764
All NG,0.0596362331659464,on,no_extinction_control,0.5031428481388289,False,False,0.0262466381899542
All NG,0.0655128556859551,off,hard_extinction,0.0235712706612725,False,False,0.0010735153146472
All NG,0.0655128556859551,off,no_extinction_control,0.0235712706612725,False,False,0.0010735153146472
All NG,0.0655128556859551,on,hard_extinction,10.858762416849808,False,False,0.307234079375529
All NG,0.0655128556859551,on,no_extinction_control,0.6180353093646742,False,False,0.0373524554065256
All NG,0.0719685673001152,off,hard_extinction,0.0226822057885378,False,False,0.0009732062857695
All NG,0.0719685673001152,off,no_extinction_control,0.0226822057885378,False,False,0.0009732062857695
All NG,0.0719685673001152,on,hard_extinction,10.858139722504337,False,False,0.3302630292980745
All NG,0.0719685673001152,on,no_extinction_control,3.0577657698115903,False,False,0.1875759160628386
All NG,0.0790604321090769,off,hard_extinction,0.0213406280365244,False,False,0.0009510189635948
All NG,0.0790604321090769,off,no_extinction_control,0.0213406280365244,False,False,0.0009510189635948
All NG,0.0790604321090769,on,hard_extinction,10.8446096217017,False,False,0.2149676943537825
All NG,0.0790604321090769,on,no_extinction_control,5.693671985445028,False,False,0.0668050916964601
All NG,0.0868511373751352,off,hard_extinction,0.0229682536718454,False,False,0.0010386462794299
All NG,0.0868511373751352,off,no_extinction_control,0.0229682536718454,False,False,0.0010386462794299
All NG,0.0868511373751352,on,hard_extinction,11.543845613437158,False,False,0.9404455987516152
All NG,0.0868511373751352,on,no_extinction_control,5.905907337860538,False,False,0.202828672427764
All NG,0.0954095476349993,off,hard_extinction,0.0434425470073573,False,False,0.0015823005287789
All NG,0.0954095476349993,off,no_extinction_control,0.0434425470073573,False,False,0.0015823005287789
All NG,0.0954095476349993,on,hard_extinction,11.5417635389226,False,False,0.8538965382207091
All NG,0.0954095476349993,on,no_extinction_control,7.475283607771394,False,False,0.0610222191752193
All NG,0.1048113134154685,off,hard_extinction,0.2096095555672685,False,False,0.0078550418583782
All NG,0.1048113134154685,off,no_extinction_control,0.2096095555672685,False,False,0.0078550418583782
All NG,0.1048113134154685,on,hard_extinction,11.538612939195833,False,False,0.8500530678793385
All NG,0.1048113134154685,on,no_extinction_control,8.848414594978866,False,False,0.060281701550578
All NG,0.1151395399326447,off,hard_extinction,10.073954474637986,False,False,0.0408711642921182
All NG,0.1151395399326447,off,no_extinction_control,2.0758250510398732,False,False,0.0245315344579724
All NG,0.1151395399326447,on,hard_extinction,11.54375554256269,False,False,0.8209346922387782
All NG,0.1151395399326447,on,no_extinction_control,9.611201066564828,False,False,0.8209404843675782
All NG,0.1264855216855295,off,hard_extinction,11.316182431605764,False,False,0.9562458747624752
All NG,0.1264855216855295,off,no_extinction_control,9.919294474593451,False,False,0.2994983702655232
All NG,0.1264855216855295,on,hard_extinction,10.34748804689458,False,False,0.1031909021907785
All NG,0.1264855216855295,on,no_extinction_control,9.569574900732238,False,False,0.0740099078783056
All NG,0.1389495494373137,off,hard_extinction,10.62132964513495,False,False,1.065582101529532
All NG,0.1389495494373137,off,no_extinction_control,10.553861396274147,False,False,1.065635590075121
All NG,0.1389495494373137,on,hard_extinction,10.631781211890658,False,False,0.8227618775079422
All NG,0.1389495494373137,on,no_extinction_control,9.615889559770665,False,False,0.8227618653111444
All NG,0.1526417967175233,off,hard_extinction,8.310997081024691,False,True,0.0027735334609635
All NG,0.1526417967175233,off,no_extinction_control,3.946695652717139,False,True,0.0028040980367458
All NG,0.1526417967175233,on,hard_extinction,8.31415804120292,False,True,0.0010737309431778
All NG,0.1526417967175233,on,no_extinction_control,3.6602639915737543,False,True,0.0011055599857508
All NG,0.1676832936811007,off,hard_extinction,0.1298576610768678,False,False,0.0004687473880032
All NG,0.1676832936811007,off,no_extinction_control,3.5223437742264343,False,False,0.0004706080475041
All NG,0.1676832936811007,on,hard_extinction,0.0,True,False,0.0
All NG,0.1676832936811007,on,no_extinction_control,3.5167369274239046,False,False,1.338202746104788e-06
All NG,0.1842069969326715,off,hard_extinction,0.0650453877447625,False,False,0.0002196978982305
All NG,0.1842069969326715,off,no_extinction_control,1.9586770773026263,False,False,0.000219988531384
All NG,0.1842069969326715,on,hard_extinction,0.0,True,False,0.0
All NG,0.1842069969326715,on,no_extinction_control,1.962390095535442,False,False,1.6007786601022554e-07
All NG,0.2023589647725156,off,hard_extinction,0.0332053217395418,False,False,0.0001092554615775
All NG,0.2023589647725156,off,no_extinction_control,1.0003811462857657,False,False,0.0001093931029381
All NG,0.2023589647725156,on,hard_extinction,0.0,True,False,0.0
All NG,0.2023589647725156,on,no_extinction_control,1.0321946641295945,False,False,6.719198440950175e-08
All NG,0.2222996482526194,off,hard_extinction,0.0116567447738722,False,False,3.782869912539696e-05
All NG,0.2222996482526194,off,no_extinction_control,0.7783574473970791,False,False,3.789224611578658e-05
All NG,0.2222996482526194,on,hard_extinction,0.0,True,False,0.0
All NG,0.2222996482526194,on,no_extinction_control,0.8082549136233848,False,False,3.779694749411447e-08
All NG,0.2442053094548651,off,hard_extinction,0.0046546784264087,False,False,1.499079250479702e-05
All NG,0.2442053094548651,off,no_extinction_control,0.6253011085702589,False,False,1.498781283067722e-05
All NG,0.2442053094548651,on,hard_extinction,0.0,True,False,0.0
All NG,0.2442053094548651,on,no_extinction_control,0.6526770400838373,False,False,2.4626838187386132e-08
All NG,0.2682695795279725,off,hard_extinction,0.0166327930536849,False,False,5.342421834651399e-05
All NG,0.2682695795279725,off,no_extinction_control,0.5148934362886664,False,False,5.3420725842710664e-05
All NG,0.2682695795279725,on,hard_extinction,0.0,True,False,0.0
All NG,0.2682695795279725,on,no_extinction_control,0.5403334390988235,False,False,1.76255741039555e-08
All NG,0.2947051702551809,off,hard_extinction,0.0247495634843422,False,False,7.962187355652951e-05
All NG,0.2947051702551809,off,no_extinction_control,0.4318146002678009,False,False,7.962287243943046e-05
All NG,0.2947051702551809,on,hard_extinction,0.0,True,False,0.0
All NG,0.2947051702551809,on,no_extinction_control,0.4559091496350245,False,False,1.3413224488017871e-08
All NG,0.3237457542817643,off,hard_extinction,0.0298179585093296,False,False,9.639295706332404e-05
All NG,0.3237457542817643,off,no_extinction_control,0.367063023821558,False,False,9.639250727607069e-05
All NG,0.3237457542817643,on,hard_extinction,0.0,True,False,0.0
All NG,0.3237457542817643,on,no_extinction_control,0.3898838881416342,False,False,1.0626765720316002e-08
All NG,0.3556480306223128,off,hard_extinction,0.0327305364412535,False,False,0.0001065528868179
All NG,0.3556480306223128,off,no_extinction_control,0.3152415946946956,False,False,0.0001065541476759
All NG,0.3556480306223128,on,hard_extinction,0.0,True,False,0.0
All NG,0.3556480306223128,on,no_extinction_control,0.336664509982965,False,False,8.655129149985176e-09
All NG,0.3906939937054615,off,hard_extinction,0.0342228823779469,False,False,0.0001123400519383
All NG,0.3906939937054615,off,no_extinction_control,0.2729784116324261,False,False,0.0001123414079412
All NG,0.3906939937054615,on,hard_extinction,3.3306690738754696e-16,True,False,0.0
All NG,0.3906939937054615,on,no_extinction_control,0.2929166689379752,False,False,7.194326814735043e-09
All NG,0.4291934260128776,off,hard_extinction,0.0348077205033909,False,False,0.0001152911320231
All NG,0.4291934260128776,off,no_extinction_control,0.238127185594692,False,False,0.0001152909013049
All NG,0.4291934260128776,on,hard_extinction,0.0,True,False,0.0
All NG,0.4291934260128776,on,no_extinction_control,0.2566323747412014,False,False,6.080651187968421e-09
All NG,0.4714866363457392,off,hard_extinction,0.0348143139165095,False,False,0.0001163875177877
All NG,0.4714866363457392,off,no_extinction_control,0.2092484698223522,False,False,0.0001163877646556
All NG,0.4714866363457392,on,hard_extinction,0.0,True,False,0.0
All NG,0.4714866363457392,on,no_extinction_control,0.2264788896556755,False,False,5.216827696142231e-09
All NG,0.517947467923121,off,hard_extinction,0.0344507284730863,False,False,0.0001162501447937
All NG,0.517947467923121,off,no_extinction_control,0.1852863008057603,False,False,0.0001162490863952
All NG,0.517947467923121,on,hard_extinction,0.0,True,False,0.0
All NG,0.517947467923121,on,no_extinction_control,0.2014392284324078,False,False,4.5390235811308615e-09
All NG,0.5689866029018296,off,hard_extinction,0.0338465580181153,False,False,0.0001152677368199
All NG,0.5689866029018296,off,no_extinction_control,0.1653936466097985,False,False,0.0001152670353806
All NG,0.5689866029018296,on,hard_extinction,0.0,True,False,0.0
All NG,0.5689866029018296,on,no_extinction_control,0.1806589143117989,False,False,4.002153836215608e-09
All NG,0.6250551925273969,off,hard_extinction,0.0330886411839244,False,False,0.000113704683688
All NG,0.6250551925273969,off,no_extinction_control,0.1488548877846529,False,False,0.0001137042044331
All NG,0.6250551925273969,on,hard_extinction,0.0,True,False,0.0
All NG,0.6250551925273969,on,no_extinction_control,0.1633950045010568,False,False,3.5729619928877566e-09
All NG,0.6866488450042998,off,hard_extinction,0.0322389548249382,False,False,0.0001117544451508
All NG,0.6866488450042998,off,no_extinction_control,0.1350571304600905,False,False,0.0001117541155902
All NG,0.6866488450042998,on,hard_extinction,0.0,True,False,0.0
All NG,0.6866488450042998,on,no_extinction_control,0.1490035746155129,False,False,3.226378068147945e-09
All NG,0.7543120063354615,off,hard_extinction,0.0313479549531576,False,False,0.0001095804582107
All NG,0.7543120063354615,off,no_extinction_control,0.1234778925192099,False,False,0.0001095802364894
All NG,0.7543120063354615,on,hard_extinction,0.0,True,False,0.0
All NG,0.7543120063354615,on,no_extinction_control,0.136935062569659,False,False,2.9432935974183627e-09
All NG,0.8286427728546842,off,hard_extinction,0.0304631303682993,False,False,0.0001073430946404
All NG,0.8286427728546842,off,no_extinction_control,0.1136741485017758,False,False,0.0001073429554218
All NG,0.8286427728546842,on,hard_extinction,0.0,True,False,0.0
All NG,0.8286427728546842,on,no_extinction_control,0.1267251351530305,False,False,2.708978281603537e-09
All NG,0.9102981779915218,off,hard_extinction,0.0296354042642819,False,False,0.000105220699452
All NG,0.9102981779915218,off,no_extinction_control,0.1052684113012851,False,False,0.0001052206271606
All NG,0.9102981779915218,on,hard_extinction,0.0,True,False,0.0
All NG,0.9102981779915218,on,no_extinction_control,0.1179837088949149,False,False,2.5119446991214152e-09
All NG,0.9999999999999994,off,hard_extinction,0.0289247174528033,False,False,0.0001034287369614
All NG,0.9999999999999994,off,no_extinction_control,0.0979317869484273,False,False,0.0001034287225157
All NG,0.9999999999999994,on,hard_extinction,0.0,True,False,0.0
All NG,0.9999999999999994,on,no_extinction_control,0.1103760352342462,False,False,2.342940654688593e-09
