community,community_type,n_presented,mean_abs_log2_error,rmse_log2_error
Af_Eu.l_Im_Mi_Pc,higher_order,5,0.7304576069989118,1.1962704033093678
Ao_Eu.l_Im_Mi_Pc,higher_order,5,0.5997810815326226,1.1055711403775546
As_Cs_Eu.c_Ld_Mi,higher_order,5,0.8776741825200169,1.7529364906697615
Af_dropout,dropout,15,0.9025378477527416,1.8098934417676995
Ao_dropout,dropout,15,0.9658529799802759,1.9099787608675562
As_dropout,dropout,15,0.9431556328004818,1.9195074929563207
Bl.s_dropout,dropout,15,1.0084803118962542,2.01587029258639
Col_dropout,dropout,15,0.8478816331364736,1.841529248571682
Cs_dropout,dropout,15,1.271979480672315,2.4785739873665213
Et_dropout,dropout,15,0.9655714558002008,1.987860996634562
Eu.c_dropout,dropout,15,0.9718508751370665,1.9047788229450697
Eu.l_dropout,dropout,15,0.9133379153887815,1.904918448136425
Im_dropout,dropout,15,0.9103519203690461,1.769294348382444
Ld_dropout,dropout,15,1.120481671567844,2.032111329804107
Lsp_dropout,dropout,15,1.0575606256022752,2.025397310128831
Mi_dropout,dropout,15,1.1625868951620886,2.3706180944697537
Pc_dropout,dropout,15,0.9027108267871894,1.9138175426476485
Va_dropout,dropout,15,1.265465362150219,2.6971734206461027
Vp_dropout,dropout,15,0.5584999428561755,1.0686657657437078
Full_community,full_community,16,0.7656949657991733,1.7381039643463516
