resource_id,bt_resource_y0
Resource_1,0.05565210930157383
Resource_2,0.03485700347079955
Resource_3,0.014319689001439661
Resource_4,0.05970421181928237
Resource_5,0.11550684609688981
Resource_6,0.013388659001655444
Resource_7,0.11350001427542152
Resource_8,0.1217649516515705
Resource_9,0.20046746791474557
Resource_10,0.09240335628669707
Resource_11,0.0
Resource_12,0.0
Resource_13,1.316774522752695e-09
Resource_14,0.0
Resource_15,0.05350424663716913
Resource_16,0.35550274677221716
Resource_17,0.0
