community,community_type,n_presented,mean_abs_log2_error,rmse_log2_error
Af_Eu.l_Im_Mi_Pc,higher_order,5,0.733062877446635,1.201043476088153
Ao_Eu.l_Im_Mi_Pc,higher_order,5,0.5973328310074928,1.1049034965335913
As_Cs_Eu.c_Ld_Mi,higher_order,5,2.340037442721524,3.711415455821315
Af_dropout,dropout,15,2.2489770856855418,3.3079940726639196
Ao_dropout,dropout,15,2.335354919729599,3.3553914092478547
As_dropout,dropout,15,2.312657572549805,3.3503560959648233
Bl.s_dropout,dropout,15,2.338166880717301,3.369505182589728
Col_dropout,dropout,15,2.178603739524078,3.309472681506839
Cs_dropout,dropout,15,2.3423225902621465,3.603524912487997
Et_dropout,dropout,15,2.085016953908302,3.351766076906865
Eu.c_dropout,dropout,15,2.268045247616823,3.3457422473875615
Eu.l_dropout,dropout,15,2.0598884182206563,3.2479666519173467
Im_dropout,dropout,15,2.215410542457102,3.290077721850448
Ld_dropout,dropout,15,1.8120410850400925,2.840626434233388
Lsp_dropout,dropout,15,1.894561267990458,2.9038235713655856
Mi_dropout,dropout,15,2.3520895454454704,3.5465368294419513
Pc_dropout,dropout,15,2.2512530524612453,3.327436839813291
Va_dropout,dropout,15,2.082804661250551,3.6401564044262433
Vp_dropout,dropout,15,1.9280018826054988,3.034298684403138
Full_community,full_community,16,2.028618709252547,3.1527573635676687
